Organism,CI,CII,CIII,CIV,CV,PDH,DNA,TCA,Fe-S
Acanthamoeba castellanii,1,1,1,1,1,1,1,1,1
Aduncisulcus paluster,0,0,0,0,0,0,0,0,1
Amoebophrya ceratii,0,1,0,1,1,1,1,1,1
<<<<<<< Updated upstream
Ascaris suum,1,1,1,1,1,1,1,1,1
Blastocystis sp.,1,1,0,0,0,1,1,0,1
Brevimastigomonas motovehiculus,1,1,0,0,1,1,1,1,1
Carpediemonas membranifera,1,0,0,0,0,0,0,0,1
Cantina marsupialis,0,1,0,0,0,0,0,1,1
Chilodonella uncinata,1,1,1,1,1,1,1,1,1
Chilomastix cuspidata,1,0,0,0,0,0,0,0,1
Chlamydomonas reinhardtii,1,1,1,1,1,1,1,1,1
Chromera velia,1,1,0,1,1,1,1,1,1
Cyclidium porcatum,0,0,0,0,1,1,1,0,1
Dysnectes brevis,1,0,0,0,0,0,0,0,1
Encephalitozoon cuniculi,0,0,0,0,0,0,0,0,1
Entamoeba histolytica,0,0,0,0,0,0,0,0,1
Ergobibamus cyprinoides,1,0,0,0,0,0,0,0,1
Euglena gracilis,1,1,1,1,1,1,1,1,1
Fasciola hepatica,1,1,0,0,1,1,1,0,1
Giardia intestinalis,0,0,0,0,0,0,0,0,1
Giardia lamblia,0,0,0,0,0,0,0,0,1
Henneguya salminicola,0,1,0,0,1,0,0,1,1
Homo sapiens,1,1,1,1,1,1,1,1,1
Heterometopus sp. CSS,1,1,1,1,0,1,1,0,1
Kipferlia bialata,1,0,0,0,0,0,0,0,1
Leishmania tropica,1,1,1,1,1,1,1,1,1
Mastigamoeba balamuthi,0,1,0,0,0,0,0,0,1
Metopid sp. SK,1,1,1,1,0,1,1,0,1
Metopus contortus,1,1,1,0,0,1,1,0,1
Metopus laminarius,1,1,1,0,0,1,0,0,1
Mikrocytos mackini,0,0,0,0,0,0,0,0,1
Mitosporidium sp.,0,1,1,1,1,1,1,1,1
Monocercomonoides exilis,0,0,0,0,0,0,0,0,0
Muranothrix gubernata,1,1,1,0,1,1,1,0,1
Naegleria gruberi,1,1,1,1,1,1,1,1,1
Nematocida parisii,0,0,0,0,0,1,0,0,1
Neocallimastix frontalis,0,0,0,0,0,0,0,0,1
Neocallimastix sp.,1,0,0,0,0,0,0,0,1
Nyctotherus ovalis,1,1,0,0,0,1,1,0,1
Orpinomyces sp.,0,1,0,0,1,0,1,0,1
Parablepharisma,1,1,1,1,1,0,1,0,1
Paratrimastix pyriformis,0,0,0,0,0,0,0,0,1
Piromyces sp.,0,1,1,1,1,0,0,1,1
Plagiopyla frontata,0,0,0,0,0,1,0,0,1
Plagiopyla cf. narasimhumartii,0,1,0,0,0,1,1,0,1
Psalteriomonas lanterna,0,0,0,0,0,0,0,0,0
Pygsuia biforma,1,1,0,0,0,0,0,0,1
Rozella,0,1,1,1,1,1,1,1,1
Saccharomyces cerevisiae,1,1,1,1,1,1,1,1,1
Sawyeria marylandensis,0,0,0,0,0,0,0,0,1
Schizosaccharomyces pombe,0,1,1,1,1,1,1,1,1
Spironucleus salmonicida,0,0,0,0,0,0,0,0,1
Stygiella incarcerata,1,0,0,0,0,0,0,0,1
=======
Anaerocyclidium porcatum,0,0,0,0,1,0,1,0,1
Apolagynus cf. cucumis,0,1,0,0,0,1,1,1,1
Apolagynus sp.,0,0,0,0,0,1,1,0,1
Ascaris suum,1,1,1,1,1,1,1,1,1
Blastocystis sp.,1,1,0,0,0,1,1,0,1
Brevimastigomonas motovehiculus,1,1,0,0,1,1,1,1,1
Carpediemonas membranifera,0,0,0,0,0,0,0,0,1
Cantina marsupialis,0,1,0,0,0,0,0,0,1
Chilodonella uncinata,1,1,1,1,1,1,1,1,1
Chilomastix cuspidata,0,0,0,0,0,0,0,0,1
Chlamydomonas reinhardtii,1,1,1,1,1,1,1,1,1
Chromera velia,0,1,0,1,1,1,1,1,1
Dysnectes brevis,0,0,0,0,0,0,0,0,1
Encephalitozoon cuniculi,0,0,0,0,0,0,0,0,1
Entamoeba histolytica,0,0,0,0,0,0,0,0,1
Ergobibamus cyprinoides,0,0,0,0,0,0,0,0,1
Euglena gracilis,1,1,1,1,1,1,1,1,1
Fasciola hepatica,1,1,0,0,1,1,1,0,1
Giardia intestinalis,0,0,0,0,0,0,0,0,1
Henneguya salminicola,0,1,0,0,0,0,0,1,1
Heterometopus sp. CSS,0,0,0,0,0,0,1,0,1
Holophrya ovum,1,1,1,1,1,1,1,1,1
Homo sapiens,1,1,1,1,1,1,1,1,1
Kipferlia bialata,0,0,0,0,0,0,0,0,1
Kudoa,1,1,1,1,1,1,1,1,1
Lagynus cucumis,0,0,0,0,0,1,1,0,1
Leishmania tropica,1,1,1,1,1,1,1,1,1
Mastigamoeba balamuthi,0,1,0,0,0,0,0,0,1
Metopus contortus,0,1,0,0,0,1,1,0,1
Metopus laminarius,0,1,0,0,0,1,0,1,1
Mikrocytos mackini,0,0,0,0,0,0,0,0,1
Mitosporidium sp.,0,1,1,1,1,1,1,1,1
Monocercomonoides exilis,0,0,0,0,0,0,0,0,0
Muranothrix gubernata,0,1,0,0,1,0,1,0,1
Myxobolus squamalis,1,1,1,0,1,1,1,1,1
Naegleria gruberi,1,1,1,1,1,1,1,1,1
Nematocida parisii,0,0,0,0,0,1,0,0,1
Neocallimastix frontalis,0,0,0,0,0,0,0,0,1
Neocallimastix sp.,0,0,0,0,0,0,0,0,1
Nyctotherus ovalis,0,1,0,0,0,0,1,0,1
Orpinomyces sp.,0,1,0,0,1,0,1,0,1
Parablepharisma,0,0,0,0,0,0,1,0,1
Paratrimastix pyriformis,0,0,0,0,0,0,0,0,1
Piromyces sp.,0,1,0,0,1,0,0,0,1
Plagiopyla frontata,0,0,0,0,0,1,0,0,1
Plagiopyla cf. narasimhamurtii,0,0,0,0,0,1,1,0,1
Psalteriomonas lanterna,0,0,0,0,0,0,0,0,0
Pygsuia biforma,0,1,0,0,0,0,0,0,1
Rozella,0,1,1,1,1,1,1,1,1
Saccharomyces cerevisiae,0,1,1,1,1,1,1,1,1
Sawyeria marylandensis,0,0,0,0,0,0,0,0,1
Schizosaccharomyces pombe,0,1,1,1,1,1,1,1,1
Spironucleus salmonicida,0,0,0,0,0,0,0,0,1
Stygiella incarcerata,0,0,0,0,0,0,0,0,1
>>>>>>> Stashed changes
Trepomonas sp.,0,0,0,0,0,0,0,0,1
Trichomonas vaginalis,0,0,0,0,0,0,0,0,1
Trimastix marina,0,0,0,0,0,0,0,0,1
Trypanosoma brucei,1,1,1,1,1,1,1,1,1
Viscum album,0,1,1,1,1,1,1,1,1
<<<<<<< Updated upstream
Vitrella brassicaformis,1,1,1,1,1,1,1,1,1
=======
Vitrella brassicaformis,0,1,1,1,1,1,1,1,1
>>>>>>> Stashed changes
